CHEMBL98975.mol2,OC(CNCCOc1ccc(-n2ccnc2)cc1)COc1ccccc1
CHEMBL57185.mol2,CCC[NH2+]CC(O)COc1ccc2c(=O)cc(-c3ccccc3)oc2c1
CHEMBL554785.mol2,Cc1cn2c(C)cnc2c(N2CC[NH2+]CC2)n1
CHEMBL1204006.mol2,OC(C[NH2+]CCc1ccc(NC(=S)NCc2ccccc2)cc1)COc1ccccc1
CHEMBL1221802.mol2,O=c1[nH]c2c([O-])ccc(C(O)C[NH2+]C3CCN(CC[NH+]4CCCCCC4)CC3)c2s1
CHEMBL291992.mol2,CCCCCCc1csc(-c2ccc(S(=O)(=O)[N-]c3ccc(CC[NH2+]CC(O)c4cccnc4)cc3)cc2)n1
CHEMBL37235.mol2,OC(C[NH2+]Cc1ccccc1F)COc1cccc2[nH]ccc12
CHEMBL461463.mol2,Cc1c[nH]c2cccc(OCC(O)CN3CC[NH+](C(c4ccccc4)c4ccccc4)CC3)c12
CHEMBL64201.mol2,Nc1ccc(OCC(O)C[NH2+]CCc2ccc([N-]S(=O)(=O)c3ccc(I)cc3)cc2)cn1
CHEMBL1221682.mol2,O=c1[nH]c2c([O-])ccc(C(O)C[NH2+]C3CCCC3C3CCCC3)c2s1
CHEMBL563872.mol2,O=S(=O)([N-]c1ccc(CC[NH2+]CC(O)COc2ccccc2)cc1)c1ccccc1
CHEMBL229401.mol2,CC(Cc1cccc2ccccc12)[NH2+]CC(O)c1cc(O)cc(O)c1
CHEMBL136936.mol2,COc1ccccc1N1CCN(CCC(O)c2csc3ccccc23)CC1
CHEMBL513389.mol2,Cc1ccc(OCC(O)C(C)[NH2+]C(C)C)c2c1CCC2
CHEMBL1204003.mol2,O=S(=O)(Nc1ccccc1)c1ccc(CC[NH2+]CC(O)COc2ccccc2)cc1
CHEMBL243266.mol2,CC(Cc1ccc(OCc2no[n+]([O-])c2C(N)=O)cc1)[NH2+]CC(O)c1cc(O)cc(O)c1
CHEMBL1221801.mol2,O=c1[nH]c2c([O-])ccc(C(O)C[NH2+]C3CCCCC3C3CCCCC3)c2s1
CHEMBL302803.mol2,CCCCOc1ccc(S(=O)(=O)N2CC(NCC(O)c3ccc(O)cc3)C2)cc1
CHEMBL298594.mol2,CCCCCCc1csc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)n1
CHEMBL1221543.mol2,CC(C)(C)CC(C)(C)[NH2+]CC(O)c1ccc([O-])c2[nH]c(=O)sc12
CHEMBL46136.mol2,C=CCc1ccccc1OCC(O)C[NH2+]C1(C)CCC(C(C)(C)NC(=O)CBr)CC1
CHEMBL1221589.mol2,O=c1[nH]c2c([O-])ccc(C(O)C[NH2+]CCCc3ccccc3)c2s1
CHEMBL74085.mol2,CCCCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CC3NCCc4cc(O)c(O)cc43)cc2)cc1
CHEMBL421871.mol2,COc1cc(-c2ccc(CC3[NH2+]CCc4cc(O)c(O)cc43)cc2)cc(OC)c1OC
CHEMBL506518.mol2,O=S(=O)(c1cccc(CCCCOCCCCCC[NH2+]CC(O)c2ccc(O)c(CO)c2)c1)N1CCCCC1
CHEMBL33755.mol2,O=S(=O)(Nc1ccc(CC[NH2+]CC(O)c2cccnc2)cc1)c1ccc(-c2noc(CCCC3CCCCC3)n2)cc1
CHEMBL1083053.mol2,CC(C)c1ccccc1OCC(O)C[NH+]1CCN(CCN2C(=O)c3cccc4cccc(c34)C2=O)CC1
CHEMBL68334.mol2,O=S(=O)([N-]c1ccc(CC[NH2+]CC(O)COc2cccnc2)cc1)c1cnc2ccccc2c1
CHEMBL101521.mol2,CS(=O)(=O)[N-]c1cc(C(O)C[NH2+]CC2CCN(c3ccc(C(=O)NC(CC(=O)[O-])C(=O)[O-])cc3)CC2)ccc1O
CHEMBL1221586.mol2,O=c1[nH]c2c([O-])ccc(C(O)C[NH2+]CC34CC5CC(CC(C5)C3)C4)c2s1
CHEMBL1085837.mol2,OCc1cc(C(O)C[NH2+]CCCCCCOCCOCc2cccc3ccccc23)ccc1O
CHEMBL1083368.mol2,O=C1c2cccc3cccc(c23)C(=O)N1CC1CC[NH+](CC(O)COc2cccc3[nH]ccc23)CC1
CHEMBL417250.mol2,O=C(Nc1ccc(S(=O)(=O)Nc2ccc(CC[NH2+]CC(O)COc3ccc(O)cc3)cc2)cc1)c1ccccc1
CHEMBL317163.mol2,O=C(NCC[NH2+]CC(O)COc1cccc2ccccc12)c1ccc(-n2ccnc2)cc1
CHEMBL36568.mol2,CS(=O)(=O)[N-]c1cc(C(O)C[NH2+]C2CCN(c3ccc(C(=O)NCC(=O)[O-])cc3)CC2)ccc1O
CHEMBL83753.mol2,CCCCCCCCn1ccn(-c2ccc(S(=O)(=O)Nc3ccc(CC[NH2+]CC(O)c4cccnc4)cc3)cc2)c1=O
CHEMBL230486.mol2,CC(C)(Cc1cccc(CC(=O)NCc2ccccc2)c1)[NH2+]CC(O)c1ccc(O)c(CO)c1
CHEMBL177442.mol2,CN(C)C(=N)NC1=NC(=O)C(=Cc2ccc(N3CCC([NH2+]CC(O)COc4cccc5[nH]c(=O)[nH]c45)CC3)cc2)S1
CHEMBL519240.mol2,Nc1nc2c(c(N3CC[NH2+]CC3)n1)CCC1=C2C2CCCCC2O1
CHEMBL160788.mol2,CC(CCCCCNC(=O)OCc1ccccc1)[NH2+]CC(O)c1ccc(O)c(O)c1
CHEMBL104481.mol2,O=C(NC1CCCCC1)N1CCC(Nc2ccc(CC[NH2+]CC(O)COc3ccc(O)cc3)cc2)CC1
CHEMBL1221804.mol2,CN(CCC[NH2+]CC(O)c1ccc([O-])c2[nH]c(=O)sc12)c1ccccc1
CHEMBL1221736.mol2,O=c1[nH]c2c([O-])ccc(C(O)C[NH2+]C3CCCC3C3CCCCC3)c2s1
CHEMBL22318.mol2,CCCCCCCCn1nnn(-c2ccc(S(=O)(=O)Nc3ccc(CC[NH2+]CC(O)c4cccnc4)cc3)cc2)c1=O
CHEMBL1078749.mol2,O=C(Nc1ccc(CC[NH2+]CC(O)c2cccnc2)cc1)c1cccc(CCc2ccccc2)c1
CHEMBL299175.mol2,COc1cc(CC2[NH2+]CCc3cc(O)c(O)cc32)cc(OC)c1OC
CHEMBL349978.mol2,COc1ccccc1N1CCNC(CNC(=O)c2ccc([N-]S(C)(=O)=O)cc2)C1
CHEMBL1203988.mol2,OC(C[NH2+]CCc1ccc(NC(=S)NC2CCCCC2)cc1)COc1ccccc1
CHEMBL320696.mol2,COC12CCCCCC1c1ccccc1C2=NOCC(O)C[NH2+]C(C)C
CHEMBL32599.mol2,CS(=O)(=O)[N-]c1cc(C(O)C[NH2+]C2CCN(c3ccc(C(=O)NC(Cc4ccccc4)C(=O)[O-])cc3)CC2)ccc1O
CHEMBL104076.mol2,O=C(Nc1ccc(S(=O)(=O)[N-]c2ccc(CC[NH2+]CC(O)c3cccnc3)cc2)cc1)OCCc1ccccc1
CHEMBL1363.mol2,COc1ccc(CC(C)[NH2+]CC(O)c2ccc(O)c(NC=O)c2)cc1
CHEMBL22317.mol2,O=C1N(CCCC2CCCC2)CCN1c1ccc(S(=O)(=O)Nc2ccc(CC[NH2+]CC(O)c3cccnc3)cc2)cc1
CHEMBL95784.mol2,CS(=O)(=O)[N-]c1ccc(C(=O)NCC[NH2+]CC(O)COc2cccc3ccccc23)cc1
CHEMBL1078576.mol2,O=C(Nc1ccc(CC[NH2+]CC(O)c2cccnc2)cc1)c1cccc(-c2[nH]cc[nH+]2)c1
CHEMBL433042.mol2,O=S(=O)(Nc1ccc(CC[NH2+]CC(O)c2cccnc2)cc1)c1ccc(-c2noc(CCCC3CCCC3)n2)cc1
CHEMBL398241.mol2,COc1ccc(C(CCc2cccc(Cl)c2)[NH2+]CC(O)Cc2ccc(O)c(NS(C)(=O)=O)c2)cc1OC
CHEMBL1221634.mol2,O=c1[nH]c2c([O-])ccc(C(O)C[NH2+]C3CCCc4ccccc43)c2s1
CHEMBL439794.mol2,N#CNC(=Nc1cccc2ccccc12)Nc1ccc(CC[NH2+]CC(O)c2cccnc2)cc1
CHEMBL59270.mol2,O=S(=O)(Nc1ccc(CC[NH2+]CC(O)c2cccnc2)cc1)c1ccc(-c2nc(CCc3ccccc3)cs2)cc1
CHEMBL184538.mol2,O=CNc1cc(C(O)C[NH2+]CCc2ccc(OC3Cc4ccccc4C3)cc2)ccc1O
CHEMBL497963.mol2,Cc1ccc2c(OCC[NH+]3CCC(Cc4cccc([N-]S(C)(=O)=O)c4)CC3)cccc2n1
CHEMBL1221803.mol2,O=c1[nH]c2c([O-])ccc(C(O)C[NH2+]CCOc3ccccc3)c2s1
CHEMBL289689.mol2,O=S(=O)(Nc1ccc(CC[NH2+]CC(O)c2cccnc2)cc1)c1ccc(-c2coc(Cc3ccc(F)c(F)c3)n2)cc1
CHEMBL1082500.mol2,COc1ccc(CC2CC[NH+](CC(O)COc3cccc4[nH]c5ccccc5c34)CC2)cc1
CHEMBL1203997.mol2,O=C(Nc1ccc(CC[NH2+]CC(O)COc2ccccc2)cc1)c1ccccc1
CHEMBL287561.mol2,O=S(=O)([N-]c1ccc(CC[NH2+]CC(O)c2cccnc2)cc1)c1ccc(-c2noc(Cc3cccc(F)c3)n2)cc1
CHEMBL349651.mol2,O=c1n(CCCC2CCCC2)ccn1-c1ccc(S(=O)(=O)[N-]c2ccc(CC[NH2+]CC(O)c3cccnc3)cc2)cc1
CHEMBL13278.mol2,O=S(=O)(Nc1ccc(CC[NH2+]CC(O)COc2ccc(O)cc2)cc1)c1ccc2ccccc2c1
CHEMBL308126.mol2,CCCCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(OCC3[NH2+]CCc4cc(O)c(O)cc43)cc2)cc1
CHEMBL1083668.mol2,CC(C)c1ccccc1OCC(O)C[NH+]1CCOCC1
CHEMBL249336.mol2,OC(C[NH2+]CCOc1ccc(-c2cocn2)cc1)c1cccnc1
CHEMBL251392.mol2,OC(CNCCOc1ccc(-c2cscn2)cc1)c1cccnc1
CHEMBL362293.mol2,CC(Cc1c[nH]c2c(OS(C)(=O)=O)cccc12)[NH2+]CC(O)c1cccc(NCc2ccccc2)c1
CHEMBL43850.mol2,OC(CNc1[nH]c2ccccc2[nH+]1)CON=C(C1CC1)C1CC1
CHEMBL39915.mol2,CC(C)(Cc1ccccc1)[NH2+]CC(O)c1ccc([O-])c2[nH]c(=O)ccc12
CHEMBL99718.mol2,OC(C[NH2+]CCOc1ccc(-n2ccnc2)cc1)CONC(C1CC1)C1CC1
CHEMBL180672.mol2,CC(C)(Cc1ccc2ccccc2c1)[NH2+]CC(O)COc1cccc(Cl)c1C#N
CHEMBL38205.mol2,COc1ccc(CC[NH2+]CC(O)COc2cccc3[nH]ccc23)cc1OC
CHEMBL102194.mol2,CCCCCCCCNC(=O)Nc1ccc(S(=O)(=O)N2CCC(C[NH2+]CC(O)COc3ccc(O)cc3)CC2)cc1
CHEMBL1085010.mol2,CC(C)c1ccccc1OCC(O)C[NH+]1CCC(CN2C(=O)CCCC2=O)CC1
CHEMBL51667.mol2,CCOC(=O)c1oc2cccc(OCC(O)C[NH2+]C(C)(C)C)c2c1C
CHEMBL104193.mol2,O=C(NCCc1ccccc1)Nc1ccc(S(=O)(=O)Nc2ccc(CC[NH2+]CC(O)c3cccnc3)cc2)cc1
CHEMBL290024.mol2,OC(CNc1ccccc1-c1ccccc1)CON=C(C1CC1)C1CC1
CHEMBL84190.mol2,CCCCCCCCN1CCN(c2ccc(S(=O)(=O)Nc3ccc(CC[NH2+]CC(O)c4cccnc4)cc3)cc2)C1=O
CHEMBL462273.mol2,O=CNc1cc(C(O)C[NH2+]CCCCNc2ncnc3c2ncn3C2OC(CO)C(O)C2O)ccc1O
CHEMBL324665.mol2,CC(C)[NH2+]CC(O)COc1cccc2[nH]c3ccccc3c12
CHEMBL295241.mol2,OC(CNc1ccc(-c2ccccc2)cc1)CON=C(C1CC1)C1CC1
CHEMBL1094785.mol2,COc1ccc(CC(C)[NH2+]CC(O)c2ccc([O-])c3[nH]c(=O)ccc23)cc1
CHEMBL1085013.mol2,CC(C)c1ccccc1OCC(O)C[NH+]1CCC(N2C(=O)c3cccc4cccc(c34)C2=O)CC1
CHEMBL286435.mol2,O=S(=O)(Nc1ccc(CC[NH2+]CC(O)c2cccnc2)cc1)c1ccc(-c2noc(COc3ccc(F)cc3)n2)cc1
CHEMBL288624.mol2,OC(CNc1nc2ccccc2s1)CON=C(C1CC1)C1CC1
CHEMBL291467.mol2,CCCCCCCCc1cccc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)n1
CHEMBL42895.mol2,OC(CNc1ccccc1)CON=C(C1CC1)C1CC1
CHEMBL236042.mol2,COc1cccc(CCNC(=O)c2cc3cc(CC(C)[NH2+]CC(O)c4ccc(O)c(CO)c4)ccc3[nH]2)c1
CHEMBL446806.mol2,CS(=O)(=O)N=C([O-])c1ccc(-c2ccc(CC[NH2+]CC(O)c3c[nH+]ccc3N)cc2)cc1OC1CCCCC1
CHEMBL183552.mol2,CC(Cc1c[nH]c2c(OS(C)(=O)=O)cccc12)[NH2+]CC(O)c1cccc(NCc2ccc3ccccc3c2)c1
CHEMBL565686.mol2,CC(C)(Cc1ccc(-c2ccccc2)cc1)[NH2+]CC(O)c1ccc(O)c2c1OCC(=O)N2
CHEMBL424167.mol2,O=C1NC(=O)C(Cc2ccc(N3CCC([NH2+]CC(O)c4ccc([O-])c(NS(=O)(=O)c5ccccc5)c4)CC3)cc2)S1
CHEMBL63963.mol2,O=S(=O)([N-]c1ccc(CC[NH2+]CC(O)c2cccnc2)cc1)c1ccc(-n2ncc(Cc3cccc(F)c3)n2)cc1
CHEMBL1082501.mol2,OC(COc1cccc2[nH]c3ccccc3c12)C[NH+]1CCC(Cc2cccnc2)CC1
CHEMBL513104.mol2,CC(C)(C)[NH2+]CC(O)COc1cccc2oc3ccccc3c12
CHEMBL101606.mol2,CS(=O)(=O)[N-]c1cc(C(O)C[NH2+]CC2CCN(S(=O)(=O)c3ccc(-n4cc(C(=O)[O-])cn4)cc3)CC2)ccc1O
CHEMBL1082827.mol2,O=C(c1ccccc1)C1CC[NH+](CC(O)COc2cccc3[nH]c4ccccc4c23)CC1
CHEMBL568272.mol2,CC(C)(Cc1ccc(O)cc1)[NH2+]CC(O)c1ccc(O)c2c1OCC(=O)N2
CHEMBL1077273.mol2,O=C(Nc1ccc(CC[NH2+]CC(O)c2cccnc2)cc1)c1cccc2ccnn12
CHEMBL341614.mol2,COc1ccccc1N1CCN(CC(O)COc2cccc3c2SCC(=O)N3)CC1
CHEMBL1083669.mol2,C=CCc1ccccc1OCC(O)C[NH2+]C1CCN(C)CC1
CHEMBL1083995.mol2,COc1ccc(OCC(O)C[NH2+]C2CCN(c3ncnc4scc(-c5ccccc5)c34)CC2)cc1
CHEMBL419787.mol2,O=[N+]([O-])[CH]C(=Nc1cccc(Oc2ccccc2)c1)Nc1ccc(CC[NH2+]CC(O)c2cccnc2)cc1
CHEMBL433252.mol2,O=S(=O)(Nc1ccccc1)c1ccc2c(c1)CCN2c1cccc(CCCC2CCCC2)n1
CHEMBL244687.mol2,CC(Cc1ccc(Oc2no[n+]([O-])c2S(=O)(=O)c2ccccc2)cc1)[NH2+]CC(O)c1cc(O)cc(O)c1
CHEMBL39706.mol2,CCCON=CC(O)C[NH2+]C(C)(C)C
CHEMBL185262.mol2,O=CNc1cc(C(O)C[NH2+]CCc2ccc(Oc3ccccc3)cc2)ccc1O
CHEMBL157881.mol2,CC1([NH2+]CC(O)COc2cccc3[nH]ccc23)CCC(C(C)(C)NC(=O)CBr)CC1
CHEMBL1089734.mol2,O=C(Nc1ccc(CC[NH2+]CC(O)c2cccnc2)cc1)c1ccc(-c2ccccc2)cc1
CHEMBL156754.mol2,CC1(NC(=O)CBr)CCC(C(C)(C)[NH2+]CC(O)COc2cccc3[nH]c(C#N)cc23)CC1
CHEMBL27.mol2,CC(C)[NH2+]CC(O)COc1cccc2ccccc12
CHEMBL442225.mol2,CC(Cc1c[nH]c2c(S(C)(=O)=O)cccc12)[NH2+]CC(O)c1cccc(NS(=O)(=O)c2cccc(N)c2)c1
CHEMBL1078496.mol2,O=C(Nc1ccc(CC[NH2+]CC(O)c2cccnc2)cc1)c1cccc(CCn2cccc2)c1
CHEMBL368457.mol2,CC(C)(C)[NH2+]CC(O)CON=C1c2ccccc2-c2ccccc21
CHEMBL419085.mol2,CC(Cc1ncc(CCCCC(=O)[O-])s1)[NH2+]CC(O)COc1ccccc1
CHEMBL72.mol2,C[NH2+]CCCN1c2ccccc2CCc2ccccc21
CHEMBL47370.mol2,C=CCc1ccccc1OCC(O)C[NH2+]C(C)(C)C1CCC(C)(NC(=O)CBr)CC1
CHEMBL398557.mol2,COc1ccc(C(Cc2ccccc2)[NH2+]CC(O)Cc2ccc(O)c(NS(C)(=O)=O)c2)cc1OC
CHEMBL6913.mol2,CC(C)[NH2+]C1CCc2c(ccc(O)c2O)C1O
CHEMBL1221637.mol2,CC([NH2+]CC(O)c1ccc([O-])c2[nH]c(=O)sc12)c1ccc2ccccc2c1
CHEMBL1159892.mol2,CC(C)[NH2+]CC(O)COc1ccccc1C1CC1
CHEMBL338748.mol2,O=[N+]([O-])[CH]C(=Nc1cccc2ccccc12)Nc1ccc(CC[NH2+]CC(O)c2cccnc2)cc1
CHEMBL244321.mol2,CC(Cc1ccc(OCc2nonc2C(N)=O)cc1)[NH2+]CC(O)c1cc(O)cc(O)c1
CHEMBL95966.mol2,Cc1cccc(OCC(O)C[NH2+]Cc2ccc([N-]S(C)(=O)=O)cc2)c1
CHEMBL182018.mol2,CC(Cc1c[nH]c2c(OS(C)(=O)=O)cccc12)[NH2+]CC(O)c1cccc(NCC=Cc2ccccc2)c1
CHEMBL140908.mol2,CC(C)(C)[NH2+]CC(O)COc1cccc2c1SCC(=O)N2
CHEMBL32470.mol2,CC([NH2+]CCc1ccc(N(CC(=O)[O-])Cc2ccccc2)cc1)C(O)c1ccc(O)cc1
CHEMBL307647.mol2,COc1c(I)cc(CC2[NH2+]CCc3[nH]c(=[NH2+])sc32)cc1I
CHEMBL1203891.mol2,OCCCC[NH+]1CCN(C2CC(c3ccc(F)cc3)c3ccc(F)cc32)CC1
CHEMBL1221735.mol2,CC1(C)C2CCC1(C)C([NH2+]CC(O)c1ccc([O-])c3[nH]c(=O)sc13)C2
CHEMBL1083363.mol2,O=C1c2cccc3cccc(c23)C(=O)N1C1CC[NH+](CC(O)COc2cccc3[nH]c4ccccc4c23)CC1
CHEMBL320761.mol2,COC12CCCCC1c1ccccc1C2=NOCC(O)C[NH2+]C(C)(C)C
CHEMBL125963.mol2,O=S(=O)([N-]c1ccc(CC[NH2+]CC(O)c2cccnc2)cc1)c1ccc(-c2nc(-c3cccc(F)c3F)cs2)cc1
CHEMBL509336.mol2,CC(CCc1ccc(O)cc1)[NH2+]CC(O)c1ccc(O)cc1
CHEMBL290131.mol2,CCCCCCCCc1ncc(-c2ccc(S(=O)(=O)Nc3ccc(CC[NH2+]CC(O)c4cccnc4)cc3)cc2)o1
CHEMBL1221588.mol2,Cc1onc(-c2ccccc2)c1CNCC(O)c1ccc([O-])c2[nH]c(=O)sc12
CHEMBL125168.mol2,N#CNC(=Nc1cccc(I)c1)Nc1ccc(CC[NH2+]CC(O)c2cccnc2)cc1
CHEMBL1221680.mol2,O=c1[nH]c2c([O-])ccc(C(O)C[NH2+]C3CCCC3OCc3ccccc3)c2s1
CHEMBL430361.mol2,CC(Cc1ccc2[nH]c(C(=O)NCc3nccs3)cc2c1)[NH2+]CC(O)c1ccc(O)c(CO)c1
CHEMBL1083666.mol2,COc1cc2c3c(cccc3c1)C(=O)N(CC1CC[NH+](CC(O)COc3ccccc3C(C)C)CC1)C2=O
CHEMBL570834.mol2,C[NH+]1CCN(CC(=O)NCCCC(=O)Nc2ccc(CC(C)(C)[NH2+]CC(O)c3ccc(O)c4c3OCC(=O)N4)cc2)CC1
CHEMBL440561.mol2,O=CNc1cc(C(O)C[NH2+]CCc2cccc(OCCCCc3ccccc3)c2)ccc1O
CHEMBL1204005.mol2,N#CN=C(Nc1ccccc1)Nc1ccc(CC[NH2+]CC(O)COc2ccccc2)cc1
CHEMBL394600.mol2,CC(Cc1ccc(Oc2nonc2S(=O)(=O)c2ccccc2)cc1)[NH2+]CC(O)c1cc(O)cc(O)c1
CHEMBL250144.mol2,OC(C[NH2+]CCOc1ccc(-c2csc(-c3ccccc3)n2)cc1)c1cccnc1
CHEMBL98773.mol2,Cc1ccccc1OCC(O)C[NH2+]Cc1ccc(-n2ccnc2)cc1
CHEMBL186676.mol2,CC(Cc1c[nH]c2c(OCc3ccccc3)cccc12)[NH2+]CC(O)c1cccc([N-]S(=O)(=O)c2cccs2)c1
CHEMBL101740.mol2,C[NH+](C)CCC=C1c2ccccc2COc2ccccc21
CHEMBL485847.mol2,NS(=O)(=O)c1cccc(CCCOCCCCCCC[NH2+]CC(O)c2ccc(O)c(CO)c2)c1
CHEMBL168893.mol2,CC(C)(Cc1ccc(N=[N+]=[N-])cc1)[NH2+]CC(O)COc1ccc(I)c2[nH]c3ccccc3c12
CHEMBL417325.mol2,CS(=O)(=O)Nc1cc(C(O)C[NH2+]C2CCN(c3ccc(C(=O)N4CCCC4C(=O)[O-])cc3)CC2)ccc1O
CHEMBL138276.mol2,CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1
CHEMBL143463.mol2,COc1ccccc1N1CC[NH+](CCCN2C(=O)CSc3c(OCC(O)C[NH2+]C(C)(C)C)cccc32)CC1
CHEMBL500.mol2,CC(C)[NH2+]CC(O)COc1cccc2[nH]ccc12
CHEMBL185052.mol2,O=CNc1cc(C(O)C[NH2+]CCc2ccc(OCCCCc3ccccc3)cc2)ccc1O
CHEMBL43061.mol2,Cc1cc[nH+]c(NCC(O)CON=C(C2CC2)C2CC2)c1
CHEMBL43111.mol2,OC(CNc1cc[nH+]cc1)CON=C(C1CC1)C1CC1
CHEMBL124863.mol2,N#CNC(=Nc1cccc(Oc2ccccc2)c1)Nc1ccc(CC[NH2+]CC(O)c2cccnc2)cc1
ZINC42842009.mol2,CCCCC(CC)CNC(=O)NNC1(C)CCS(=O)(=O)C1
ZINC04102496.mol2,CC[NH+](CC)CCNc1nc2c(c(=O)[nH]c(=O)n2C)n1CC(O)COc1ccc(Cl)cc1Cl
ZINC08819719.mol2,O=C(CCCCCN1C(=O)C(=Cc2ccccc2)SC1=S)NNC(=O)c1ccc(O)cc1
ZINC09712536.mol2,O=C(NCC(c1ccco1)[NH+]1CCCC1)c1ccc(S(=O)(=O)NCc2ccco2)cc1
ZINC17093365.mol2,NC(=O)CSc1nnc(CSCc2ccccc2)n1-c1ccc(F)c(Cl)c1
ZINC02848674.mol2,Nc1ccc(OS(=O)(=O)c2ccc(Oc3ccc(S(=O)(=O)Oc4ccc(N)cc4)cc3)cc2)cc1
ZINC05206035.mol2,CC(C)C(OC(=O)CCCC1CCCCC1)C(=O)NC(N)=O
ZINC20907619.mol2,O=C(CCSc1n[nH]c(NN=Cc2c(O)ccc3ccccc23)n1)Nc1cccc(N2CCCC2=O)c1
ZINC26860894.mol2,CCC1(c2ccccc2)NC(=O)N(NC(=O)C[NH+](Cc2ccccc2)Cc2ccco2)C1=O
ZINC21079143.mol2,O=C(CCSc1n[nH]c(NN=CC=Cc2ccccc2)n1)Nc1c(Cl)cccc1Cl
ZINC19020389.mol2,CCNC(=O)c1cccc(NC(=O)CSc2nnc(C[NH+]3CCCCC3)n2-c2ccc(F)cc2)c1
ZINC20190956.mol2,CCSc1ccccc1NC(=O)CSc1n[nH]c(NN=Cc2ccccc2Cl)n1
ZINC32582135.mol2,CCN(CC)c1ccc(C[NH+]2CC(NCc3ccccc3Cl)CC2C(=O)NCCOC)cc1
ZINC16628194.mol2,CCN(C(=O)C[NH+](CC)CC1COc2ccccc2O1)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O
ZINC15902285.mol2,O=C(CCCNS(=O)(=O)c1ccc(F)cc1)NNC(=O)CC12CC3CC(CC(C3)C1)C2
ZINC63920337.mol2,CC(C)CN1CCOC(CNC(=O)C(CC2=c3ccccc3=[NH+]C2)NC(=O)c2cccs2)C1
ZINC36205315.mol2,Cc1ccc(-c2csc3nc(C[NH+](CC(O)COCC(C)C)C(C)C)[nH]c(=O)c23)cc1C
ZINC21323504.mol2,CSc1ccccc1NC(=O)CSc1nnc(NN=C(C)c2ccc(F)cc2)n1N
ZINC39710544.mol2,CCc1ccc2c(c1)=CC(C(C1N=NNN1C(C)(C)C)N(CCc1ccccc1)Cc1cccs1)C(=O)[NH+]=2
ZINC35746568.mol2,CCOC(=O)c1sc2nc(C[NH+](CC(O)CC)C3CCCCC3)[nH]c(=O)c2c1C
ZINC33260908.mol2,C[NH+](C)CCNC(=O)CN1CCN(c2cc(C(=O)[O-])c3cc(NC(=O)C4CCCC4)ccc3[nH+]2)CC1
ZINC22619401.mol2,CN(C)S(=O)(=O)c1cccc(C(=O)NCC(=O)NCC(c2ccccc2Cl)[NH+]2CCCC2)c1
ZINC37606403.mol2,Cc1ccc(C2c3cc(OCc4ccc(C(=O)NCC[NH+](C)C)o4)ccc3CCN2C(=O)CC(C)C)cc1
ZINC66310880.mol2,CCCCNC(=O)NC1(C(=O)NC(C)COC)CCCCC1
ZINC26564927.mol2,O=C(C=Cc1ccc(S(=O)(=O)NCc2ccco2)cc1)NCCc1c[nH]c2ccccc12
ZINC00907422.mol2,Nc1c(C(=O)NC2CCCCC2)nsc1C(=O)N(CC(=O)NCc1ccccc1)Cc1ccc(F)cc1
