CHEMBL98975.mol2,OC(CNCCOc1ccc(-n2ccnc2)cc1)COc1ccccc1
CHEMBL1221541.mol2,CC([NH2+]CC(O)c1ccc([O-])c2[nH]c(=O)sc12)C1CCCCC1
CHEMBL486278.mol2,COc1ccc(CC(C)(C)[NH2+]CC(O)COc2cccc3[nH]c(=O)[nH]c23)cc1
CHEMBL1203992.mol2,O=C(Nc1ccc(CC[NH2+]CC(O)COc2ccccc2)cc1)Oc1ccccc1
CHEMBL41214.mol2,NS(=O)(=O)c1cc(N2CCN(CC(O)COc3cccc4ccccc34)CC2)ccc1Cl
CHEMBL57185.mol2,CCC[NH2+]CC(O)COc1ccc2c(=O)cc(-c3ccccc3)oc2c1
CHEMBL498531.mol2,O=C([O-])c1cccc(Oc2ccc3c(c2)CC([NH2+]CC(O)c2cccc(Cl)c2)CCC3)c1
CHEMBL1221802.mol2,O=c1[nH]c2c([O-])ccc(C(O)C[NH2+]C3CCN(CC[NH+]4CCCCCC4)CC3)c2s1
CHEMBL453575.mol2,CC(C)Cc1cc(-c2ccc(OCC[NH2+]CC(O)c3cccc(Cl)c3)cc2)ccc1C(=O)[O-]
CHEMBL1085016.mol2,C=CCc1ccccc1OCC(O)C[NH+]1CCC(CN2C(=O)c3ccccc3C2=O)CC1
CHEMBL37235.mol2,OC(C[NH2+]Cc1ccccc1F)COc1cccc2[nH]ccc12
CHEMBL400392.mol2,OC(C[NH2+]CCOc1ccc(-c2csc(C3CCCC3)n2)cc1)c1cccnc1
CHEMBL38033.mol2,CCC=NOCC(O)C[NH2+]C(C)(C)C
CHEMBL136936.mol2,COc1ccccc1N1CCN(CCC(O)c2csc3ccccc23)CC1
CHEMBL561348.mol2,O=C(Cc1cccc(Cl)c1)Nc1ccc(CC[NH2+]CC(O)COc2ccc(O)cc2)cc1
CHEMBL127451.mol2,NC(=O)c1cccc(N=C([CH][N+](=O)[O-])Nc2ccc(CC[NH2+]CC(O)c3cccnc3)cc2)c1
CHEMBL1204003.mol2,O=S(=O)(Nc1ccccc1)c1ccc(CC[NH2+]CC(O)COc2ccccc2)cc1
CHEMBL1221801.mol2,O=c1[nH]c2c([O-])ccc(C(O)C[NH2+]C3CCCCC3C3CCCCC3)c2s1
CHEMBL162513.mol2,CS(=O)(=O)[N-]c1ccc(C(=O)NCC2CN(c3ccccc3)CC[NH2+]2)cc1
CHEMBL289390.mol2,NS(=O)(=O)c1cc(S(=O)(=O)NCC[NH2+]CC(O)COc2cccc3c2SCC(=O)N3)ccc1Cl
CHEMBL46136.mol2,C=CCc1ccccc1OCC(O)C[NH2+]C1(C)CCC(C(C)(C)NC(=O)CBr)CC1
CHEMBL1221589.mol2,O=c1[nH]c2c([O-])ccc(C(O)C[NH2+]CCCc3ccccc3)c2s1
CHEMBL74085.mol2,CCCCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CC3NCCc4cc(O)c(O)cc43)cc2)cc1
CHEMBL466713.mol2,O=C(Cc1ccccn1)Nc1ccc(CC[NH2+]CC(O)COc2cccnc2)cc1
CHEMBL101521.mol2,CS(=O)(=O)Nc1cc(C(O)C[NH2+]CC2CCN(c3ccc(C(=O)NC(CC(=O)[O-])C(=O)[O-])cc3)CC2)ccc1O
CHEMBL524145.mol2,O=C([O-])c1cc(NC(=O)c2ccccc2)cc(Oc2cccc(CC[NH2+]CC(O)c3cccc(Cl)c3)c2)c1
CHEMBL1084891.mol2,Cc1cc(C)cc(COCCOCCCCCC[NH2+]CC(O)c2ccc(O)c(CO)c2)c1
CHEMBL1085837.mol2,OCc1cc(C(O)C[NH2+]CCCCCCOCCOCc2cccc3ccccc23)ccc1O
CHEMBL492005.mol2,CC(=O)Nc1ccc(Oc2cccc(CC[NH2+]CC(O)c3cccnc3)c2)cc1C(=O)[O-]
CHEMBL500782.mol2,O=S(=O)(NC1CCCCC1)c1cccc(CCCCOCCCCCC[NH2+]CC(O)c2ccc(O)c(CO)c2)c1
CHEMBL1083368.mol2,O=C1c2cccc3cccc(c23)C(=O)N1CC1CC[NH+](CC(O)COc2cccc3[nH]ccc23)CC1
CHEMBL417250.mol2,O=C(Nc1ccc(S(=O)(=O)Nc2ccc(CC[NH2+]CC(O)COc3ccc(O)cc3)cc2)cc1)c1ccccc1
CHEMBL317163.mol2,O=C(NCC[NH2+]CC(O)COc1cccc2ccccc12)c1ccc(-n2ccnc2)cc1
CHEMBL399522.mol2,OC(CNCCOc1ccc(-c2csc(-c3ccncc3)n2)cc1)c1cccnc1
CHEMBL177442.mol2,CN(C)C(=N)NC1=NC(=O)C(=Cc2ccc(N3CCC([NH2+]CC(O)COc4cccc5[nH]c(=O)[nH]c45)CC3)cc2)S1
CHEMBL519240.mol2,Nc1nc2c(c(N3CC[NH2+]CC3)[nH+]1)CCC1=C2C2CCCCC2O1
CHEMBL40297.mol2,NS(=O)(=O)c1cc(NCC[NH2+]CC(O)COc2cccc3ccccc23)ccc1Cl
CHEMBL160788.mol2,CC(CCCCCNC(=O)OCc1ccccc1)[NH2+]CC(O)c1ccc(O)c(O)c1
CHEMBL274782.mol2,COc1ccc(CCC(C)[NH2+]CC(O)COc2ccc(O)cc2)cc1
CHEMBL537693.mol2,O=C([O-])COc1ccc(Oc2ccc(CC[NH2+]CC(O)c3cccc(Cl)c3)cc2)cc1
CHEMBL564556.mol2,O=C(Cc1cccc2ccccc12)Nc1ccc(CC[NH2+]CC(O)COc2ccc(O)cc2)cc1
CHEMBL1221804.mol2,CN(CCC[NH2+]CC(O)c1ccc([O-])c2[nH]c(=O)sc12)c1ccccc1
CHEMBL482397.mol2,CC(CO)(CO)[NH2+]CC(O)COc1cccc2c(=O)c3ccccc3oc12
CHEMBL1221736.mol2,O=c1[nH]c2c([O-])ccc(C(O)C[NH2+]C3CCCC3C3CCCCC3)c2s1
CHEMBL1221732.mol2,O=c1[nH]c2c([O-])ccc(C(O)C[NH2+]C3CCCCC3OCc3ccccc3)c2s1
CHEMBL22318.mol2,CCCCCCCCn1nnn(-c2ccc(S(=O)(=O)Nc3ccc(CC[NH2+]CC(O)c4cccnc4)cc3)cc2)c1=O
CHEMBL248547.mol2,CC(C)(Cc1ccc(Oc2ccc(C(N)=O)cn2)cc1)[NH2+]CC(O)COc1cccc2c1C1(CC1)C(=O)N2
CHEMBL299175.mol2,COc1cc(CC2NCCc3cc(O)c(O)cc32)cc(OC)c1OC
CHEMBL467298.mol2,O=C(Cc1nc2ccccc2n1Cc1ccccc1)Nc1ccc(CC[NH2+]CC(O)COc2ccccc2)cc1
CHEMBL95784.mol2,CS(=O)(=O)[N-]c1ccc(C(=O)NCC[NH2+]CC(O)COc2cccc3ccccc23)cc1
CHEMBL65042.mol2,O=S(=O)(Nc1ccc(CC[NH2+]CC(O)COc2cccnc2)cc1)c1ccc(Cl)c(Cl)c1
CHEMBL439794.mol2,N#CNC(=Nc1cccc2ccccc12)Nc1ccc(CC[NH2+]CC(O)c2cccnc2)cc1
CHEMBL1221803.mol2,O=c1[nH]c2c([O-])ccc(C(O)C[NH2+]CCOc3ccccc3)c2s1
CHEMBL1082500.mol2,COc1ccc(CC2CC[NH+](CC(O)COc3cccc4[nH]c5ccccc5c34)CC2)cc1
CHEMBL26917.mol2,Cc1ccc(OCC(O)C[NH2+]C(C)C)c2c1CCC2
CHEMBL210309.mol2,CC(C)(C)[NH2+]CC(O)COc1cccc2[n-]c(C#N)c(I)c12
CHEMBL579394.mol2,Cc1ccccc1CC(C)(C)[NH2+]CC(O)c1ccc(O)c2c1OCC(=O)N2
CHEMBL1083668.mol2,CC(C)c1ccccc1OCC(O)C[NH+]1CCOCC1
CHEMBL1221861.mol2,O=c1[nH]c2c([O-])ccc(C(O)C[NH2+]CCSc3ccc(Cl)cc3)c2s1
CHEMBL325371.mol2,COC12CCCCC1c1ccc(F)cc1C2=NOCC(O)C[NH2+]C(C)(C)C
CHEMBL350847.mol2,O=C(NCC1CN(c2ccccc2)CCN1)c1ccc(-n2ccnc2)cc1
CHEMBL43850.mol2,OC(CNc1[nH]c2ccccc2[nH+]1)CON=C(C1CC1)C1CC1
CHEMBL1221590.mol2,CC(C)(Cc1ccccc1)[NH2+]CC(O)c1ccc([O-])c2[nH]c(=O)sc12
CHEMBL39915.mol2,CC(C)(Cc1ccccc1)[NH2+]CC(O)c1ccc([O-])c2[nH]c(=O)ccc12
CHEMBL99718.mol2,OC(C[NH2+]CCOc1ccc(-n2ccnc2)cc1)CONC(C1CC1)C1CC1
CHEMBL38205.mol2,COc1ccc(CC[NH2+]CC(O)COc2cccc3[nH]ccc23)cc1OC
CHEMBL1085010.mol2,CC(C)c1ccccc1OCC(O)C[NH+]1CCC(CN2C(=O)CCCC2=O)CC1
CHEMBL509156.mol2,CC(Cc1ccc(-c2ccc(C(=O)[O-])c(OC3CCCCC3)c2)cc1)[NH2+]CC(O)c1ccccc1
CHEMBL839.mol2,CC(C)(C)[NH2+]CC(O)COc1cccc2c1CCC(=O)N2
CHEMBL51667.mol2,CCOC(=O)c1oc2cccc(OCC(O)C[NH2+]C(C)(C)C)c2c1C
CHEMBL104193.mol2,O=C(NCCc1ccccc1)Nc1ccc(S(=O)(=O)Nc2ccc(CC[NH2+]CC(O)c3cccnc3)cc2)cc1
CHEMBL466726.mol2,O=C(Cc1cccc(Cl)n1)Nc1ccc(CC[NH2+]CC(O)COc2ccccc2)cc1
CHEMBL250146.mol2,OC(CNCCOc1ccc(-c2csc(-c3cccnc3)n2)cc1)c1cccnc1
CHEMBL290024.mol2,OC(CNc1ccccc1-c1ccccc1)CON=C(C1CC1)C1CC1
CHEMBL84190.mol2,CCCCCCCCN1CCN(c2ccc(S(=O)(=O)[N-]c3ccc(CC[NH2+]CC(O)c4cccnc4)cc3)cc2)C1=O
CHEMBL324665.mol2,CC(C)[NH2+]CC(O)COc1cccc2[nH]c3ccccc3c12
CHEMBL295241.mol2,OC(CNc1ccc(-c2ccccc2)cc1)CON=C(C1CC1)C1CC1
CHEMBL399440.mol2,Cc1ocnc1-c1ccc(OCC[NH2+]CC(O)c2cccnc2)cc1
CHEMBL1085013.mol2,CC(C)c1ccccc1OCC(O)C[NH+]1CCC(N2C(=O)c3cccc4cccc(c34)C2=O)CC1
CHEMBL286435.mol2,O=S(=O)([N-]c1ccc(CC[NH2+]CC(O)c2cccnc2)cc1)c1ccc(-c2noc(COc3ccc(F)cc3)n2)cc1
CHEMBL288624.mol2,OC(CNc1nc2ccccc2s1)CON=C(C1CC1)C1CC1
CHEMBL40343.mol2,NS(=O)(=O)c1cc(C(=O)NCC[NH2+]CC(O)COc2cccc3c2CCC(=O)N3)ccc1Cl
CHEMBL291467.mol2,CCCCCCCCc1cccc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)[nH+]1
CHEMBL42895.mol2,OC(CNc1ccccc1)CON=C(C1CC1)C1CC1
CHEMBL1221683.mol2,O=c1[nH]c2c([O-])ccc(C(O)C[NH2+]C3CCCC3C3CCCC3)c2s1
CHEMBL1082828.mol2,COc1ccc(C(=O)C2CC[NH+](CC(O)COc3cccc4[nH]c5ccccc5c34)CC2)cc1
CHEMBL456485.mol2,O=S(=O)(c1cccc(CCCCOCCCCCC[NH2+]CC(O)c2ccc(O)c(CO)c2)c1)N1CCOCC1
CHEMBL271765.mol2,O=C([O-])c1ccc(-c2ccc(CC[NH2+]CC(O)c3cccc(Cl)c3)cc2)s1
CHEMBL183552.mol2,CC(Cc1c[nH]c2c(OS(C)(=O)=O)cccc12)[NH2+]CC(O)c1cccc(NCc2ccc3ccccc3c2)c1
CHEMBL565686.mol2,CC(C)(Cc1ccc(-c2ccccc2)cc1)[NH2+]CC(O)c1ccc(O)c2c1OCC(=O)N2
CHEMBL466519.mol2,O=C(Cc1cccc[nH+]1)Nc1ccc(CC[NH2+]CC(O)COc2cccc3[nH]c(=O)[nH]c23)cc1
CHEMBL424167.mol2,O=C1NC(=O)C(Cc2ccc(N3CCC([NH2+]CC(O)c4ccc(O)c(NS(=O)(=O)c5ccccc5)c4)CC3)cc2)S1
CHEMBL1082501.mol2,OC(COc1cccc2[nH]c3ccccc3c12)C[NH+]1CCC(Cc2cccnc2)CC1
CHEMBL467082.mol2,O=C(Cc1[nH+]ccn1-c1ccccc1)Nc1ccc(CC[NH2+]CC(O)COc2ccccc2)cc1
CHEMBL479341.mol2,CS(=O)(=O)N=C([O-])c1ccc(-c2ccc(CC[NH2+]CC(O)c3ccccc3)cc2)cc1OC1CCCCCC1
CHEMBL308150.mol2,O=C([O-])COc1ccc(OCC[NH2+]CC(O)COc2ccccc2)cc1
CHEMBL419787.mol2,O=[N+]([O-])[CH]C(=Nc1cccc(Oc2ccccc2)c1)Nc1ccc(CC[NH2+]CC(O)c2cccnc2)cc1
CHEMBL539226.mol2,O=C(Cc1cccs1)Nc1ccc(CC[NH2+]CC(O)COc2ccc(O)cc2)cc1
CHEMBL457199.mol2,CC(C)Oc1cc(-c2ccc3c(c2)CC([NH2+]CC(O)c2ccc(Cl)cc2)CC3)ccc1C(=O)[O-]
CHEMBL552434.mol2,O=C(CC1C=Nc2ccccc21)Nc1ccc(CC[NH2+]CC(O)COc2ccc(O)cc2)cc1
CHEMBL387852.mol2,CCOC(=O)COc1ccc(CC(C)[NH2+]CC(O)c2cc(Br)no2)cc1
CHEMBL157881.mol2,CC1([NH2+]CC(O)COc2cccc3[nH]ccc23)CCC(C(C)(C)NC(=O)CBr)CC1
CHEMBL1203987.mol2,OC(C[NH2+]CCc1ccc(NC(=S)NCCc2ccccc2)cc1)COc1ccccc1
CHEMBL52407.mol2,CCCCCCCCc1nc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)no1
CHEMBL561693.mol2,O=C(Cc1ccncc1)Nc1ccc(CC[NH2+]CC(O)COc2ccc(O)cc2)cc1
CHEMBL156754.mol2,CC1(NC(=O)CBr)CCC(C(C)(C)[NH2+]CC(O)COc2cccc3[nH]c(C#N)cc23)CC1
CHEMBL27.mol2,CC(C)[NH2+]CC(O)COc1cccc2ccccc12
CHEMBL368457.mol2,CC(C)(C)[NH2+]CC(O)CON=C1c2ccccc2-c2ccccc21
CHEMBL43968.mol2,NS(=O)(=O)c1cc(NCC[NH2+]CC(O)COc2cccc3c2SCC(=O)N3)ccc1Cl
CHEMBL107981.mol2,COC12CCCCCC1c1ccccc1C2=NOCC(O)C[NH2+]C(C)(C)C
CHEMBL1084707.mol2,COc1cc2c3c(cccc3c1)C(=O)N(CC1CC[NH+](CC(O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O
CHEMBL47370.mol2,C=CCc1ccccc1OCC(O)C[NH2+]C(C)(C)C1CCC(C)(NC(=O)CBr)CC1
CHEMBL38532.mol2,NS(=O)(=O)c1cc(C(=O)NCC[NH2+]CC(O)COc2cccc3c2SCC(=O)N3)ccc1Cl
CHEMBL398557.mol2,COc1ccc(C(Cc2ccccc2)[NH2+]CC(O)Cc2ccc(O)c(NS(C)(=O)=O)c2)cc1OC
CHEMBL250760.mol2,OC(C[NH2+]CCOc1ccc(-c2coc(COCc3ccccc3)n2)cc1)c1cccnc1
CHEMBL6913.mol2,CC(C)[NH2+]C1CCc2c(ccc(O)c2O)C1O
CHEMBL509729.mol2,O=C([O-])c1cc(NC2CCCCC2)cc(Oc2ccc3c(c2)CC([NH2+]CC(O)c2cccc(Cl)c2)CC3)c1
CHEMBL1221637.mol2,CC([NH2+]CC(O)c1ccc([O-])c2[nH]c(=O)sc12)c1ccc2ccccc2c1
CHEMBL551831.mol2,O=C(Nc1ccc(CC[NH2+]CC(O)COc2ccc(O)cc2)cc1)C(c1ccccc1)c1ccccc1
CHEMBL290313.mol2,NS(=O)(=O)c1cc(S(=O)(=O)NCCNCC(O)COc2cccc3c2CCC(=O)N3)ccc1Cl
CHEMBL1083672.mol2,C=CCc1ccccc1OCC(O)CN1CC[NH+](CCN2C(=O)c3cccc4cccc(c34)C2=O)CC1
CHEMBL95966.mol2,Cc1cccc(OCC(O)C[NH2+]Cc2ccc([N-]S(C)(=O)=O)cc2)c1
CHEMBL185703.mol2,CC(Cc1c[nH]c2c(OCC(=O)N(C)C)cccc12)[NH2+]CC(O)c1cccc([N-]S(=O)(=O)c2cccs2)c1
CHEMBL251541.mol2,COc1cccc2c1CC1CC(C(=O)N3CCN(c4ccc([N+](=O)[O-])cc4)CC3)C[NH+](C)C1C2
CHEMBL562153.mol2,O=C(Cc1cc2ccccc2c[nH+]1)Nc1ccc(CC[NH2+]CC(O)COc2ccc(O)cc2)cc1
CHEMBL39577.mol2,CCCCCc1ncc(-c2ccc(S(=O)(=O)[N-]c3ccc(CC[NH2+]CC(O)c4cccnc4)cc3)cc2)o1
CHEMBL140908.mol2,CC(C)(C)[NH2+]CC(O)COc1cccc2c1SCC(=O)N2
CHEMBL459646.mol2,CC(C)Cc1cc(-c2ccc(OCCNCC(O)c3ccc(N)[nH+]c3)cc2)ccc1C(=O)[O-]
CHEMBL307647.mol2,COc1c(I)cc(CC2NCCc3[nH]c(=[NH2+])sc32)cc1I
CHEMBL1085928.mol2,O=C(Nc1ccc(CC[NH2+]CC(O)c2cccnc2)cc1)OCc1nc2ccccc2[nH]1
CHEMBL1203891.mol2,OCCCC[NH+]1CCN(C2CC(c3ccc(F)cc3)c3ccc(F)cc32)CC1
CHEMBL273006.mol2,O=C([O-])c1ccc(-c2ccc(CC[NH2+]CC(O)c3ccccc3)cc2)cc1Oc1ccccc1
CHEMBL1083363.mol2,O=C1c2cccc3cccc(c23)C(=O)N1C1CC[NH+](CC(O)COc2cccc3[nH]c4ccccc4c23)CC1
CHEMBL466923.mol2,O=C(Cc1cccc[nH+]1)Nc1ccc(CC[NH2+]CC(O)COc2cccc3[nH]c4ccccc4c23)cc1
CHEMBL445.mol2,C[NH2+]CCC=C1c2ccccc2CCc2ccccc21
CHEMBL292407.mol2,CCCCCCCCN(C)C(=O)N1CCc2cc(S(=O)(=O)Nc3ccccc3)ccc21
CHEMBL1221588.mol2,Cc1onc(-c2ccccc2)c1CNCC(O)c1ccc([O-])c2[nH]c(=O)sc12
CHEMBL43196.mol2,NS(=O)(=O)c1cc(S(=O)(=O)NCCNCC(O)COc2cccc3ccccc23)ccc1Cl
CHEMBL125168.mol2,N#CNC(=Nc1cccc(I)c1)Nc1ccc(CC[NH2+]CC(O)c2cccnc2)cc1
CHEMBL1221680.mol2,O=c1[nH]c2c([O-])ccc(C(O)C[NH2+]C3CCCC3OCc3ccccc3)c2s1
CHEMBL570834.mol2,C[NH+]1CCN(CC(=O)NCCCC(=O)Nc2ccc(CC(C)(C)[NH2+]CC(O)c3ccc(O)c4c3OCC(=O)N4)cc2)CC1
CHEMBL551892.mol2,O=C(Cc1ccsc1)Nc1ccc(CC[NH2+]CC(O)COc2ccc(O)cc2)cc1
CHEMBL323113.mol2,CCCCCCCCNC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CC[NH2+]CC(O)c3cccnc3)cc2)cc1
CHEMBL1204005.mol2,N#CN=C([N-]c1ccccc1)Nc1ccc(CC[NH2+]CC(O)COc2ccccc2)cc1
CHEMBL13432.mol2,O=C(Nc1ccc(S(=O)(=O)Nc2ccc(CC[NH2+]CC(O)COc3ccc(O)cc3)cc2)cc1)NC1CCCCC1
CHEMBL455773.mol2,CS(=O)(=O)N=C([O-])c1ccc(-c2ccc(CC[NH2+]CC(O)c3ccccc3)cc2)cc1NC1CCCCC1
CHEMBL267306.mol2,O=S(=O)(Nc1ccc(CC[NH2+]CC(O)COc2ccc(O)cc2)cc1)c1ccccc1Cl
CHEMBL250144.mol2,OC(C[NH2+]CCOc1ccc(-c2csc(-c3ccccc3)n2)cc1)c1cccnc1
CHEMBL98773.mol2,Cc1ccccc1OCC(O)C[NH2+]Cc1ccc(-n2ccnc2)cc1
CHEMBL463182.mol2,O=C([O-])c1cccc(Oc2ccc3c(c2)CC([NH2+]CC(O)c2ccc(Cl)nc2)CC3)c1
CHEMBL467103.mol2,O=C(Cc1nccn1Cc1ccc2ccccc2c1)Nc1ccc(CC[NH2+]CC(O)COc2ccccc2)cc1
CHEMBL168893.mol2,CC(C)(Cc1ccc(N=[N+]=[N-])cc1)[NH2+]CC(O)COc1ccc(I)c2[nH]c3ccccc3c12
CHEMBL1086005.mol2,C=CCc1ccccc1OCC(O)C[NH+]1CCC(CN2C(=O)c3cccc4cccc(c34)C2=O)CC1
CHEMBL108061.mol2,CCN(CC)C(=O)N1CCC(Nc2ccc(CC[NH2+]CC(O)COc3ccc(O)cc3)cc2)CC1
CHEMBL417325.mol2,CS(=O)(=O)Nc1cc(C(O)C[NH2+]C2CCN(c3ccc(C(=O)N4CCCC4C(=O)[O-])cc3)CC2)ccc1O
CHEMBL138276.mol2,CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2[NH+](C)C1
CHEMBL143463.mol2,COc1ccccc1N1CC[NH+](CCCN2C(=O)CSc3c(OCC(O)C[NH2+]C(C)(C)C)cccc32)CC1
CHEMBL551389.mol2,OC(C[NH2+]CCc1ccc(NC(=S)Nc2ccc(Cl)cc2)cc1)COc1ccccc1
CHEMBL181440.mol2,CC(Cc1c[nH]c2c(OS(C)(=O)=O)cccc12)[NH2+]CC(O)c1cccc(NS(=O)(=O)c2ccccc2)c1
CHEMBL461301.mol2,O=C([O-])c1ccc(-c2ccc(OCCNCC(O)c3cccc(Cl)c3)cc2)cc1OC1CCCCC1
CHEMBL40609.mol2,NS(=O)(=O)c1cc(N2CC[NH+](CC(O)COc3cccc4c3SCC(=O)N4)CC2)ccc1Cl
CHEMBL418600.mol2,CCCCN(C(=O)CC(=O)[O-])c1ccc(N2CCC([NH2+]CC(O)c3ccc(O)c(NS(C)(=O)=O)c3)CC2)cc1
CHEMBL386016.mol2,Cn1c(=O)[nH]c2cccc(OCC(O)C[NH2+]C(C)(C)Cc3ccc(Oc4ccc(C(N)=O)cn4)cc3)c21
CHEMBL434.mol2,CC(C)[NH2+]CC(O)c1ccc(O)c(O)c1
CHEMBL43061.mol2,Cc1cc[nH+]c(NCC(O)CON=C(C2CC2)C2CC2)c1
CHEMBL723.mol2,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12
CHEMBL43111.mol2,OC(CNc1cc[nH+]cc1)CON=C(C1CC1)C1CC1
CHEMBL399785.mol2,CCc1nc(-c2ccc(OCCNCC(O)c3cccnc3)cc2)cs1
CHEMBL124863.mol2,N#CNC(=Nc1cccc(Oc2ccccc2)c1)Nc1ccc(CC[NH2+]CC(O)c2cccnc2)cc1
ZINC66086516.mol2,CCC(C)NC(=O)c1ccc(NCC(=O)NCc2ccco2)cc1
ZINC66782773.mol2,CCC(C)C(=O)NCC(=O)NNC(=O)CCC1CCCCC1
ZINC37264512.mol2,COC(=O)c1ccc(S(=O)(=O)NC(C)CC(C)C)c(N)c1
ZINC42930094.mol2,CC(C)CCCC(C)NC(=O)NNC1(C)CCS(=O)(=O)C1
ZINC59829917.mol2,C=CCn1nc(C)c(C=NNc2nnc(SCC(=O)Nc3cccc([N+](=O)[O-])c3)n2N)c1C
ZINC10167004.mol2,CCc1nc2sc(C(c3ccc(Cl)cc3Cl)[NH+]3CCC(C(N)=O)CC3)c(O)n2n1
ZINC39344975.mol2,COC(=O)C1C(NC(=O)C2CCOC2)c2cc(NC3CCOCC3)c[nH+]c2N1CCc1c[nH]c2ccccc12
ZINC39746381.mol2,CC1NNC(=O)C2=C1C(C)OC2NC(=O)COC(=O)CC1(CC2Nc3ccccc3S2)CCCC1
ZINC21975513.mol2,CCOC(=O)C1=C(CSc2nnc(C(F)(F)F)n2N)NC(=O)NC1c1ccc(OC)cc1
ZINC01102353.mol2,CCOc1ccccc1C1C(C#N)=C(SCC(N)=O)NC(C)=C1C(=O)Nc1ccccc1
ZINC20547523.mol2,COc1ccc(CCN2C(=O)C3C(CCC(N)=O)NC4(C(=O)Nc5ccc(F)cc54)C3C2=O)cc1OC
ZINC20837291.mol2,COc1ccc(OC)c(C=NNc2nc(SCC(=O)NC3CC(C)(C)[NH2+]C(C)(C)C3)n[nH]2)c1
ZINC59829868.mol2,C=CCn1nc(C)c(C=NNc2nnc(SCC(=O)Nc3ccccc3[N+](=O)[O-])n2N)c1C
ZINC12225131.mol2,COC(=O)c1ccc(CSc2nc(N)c(NC(=O)c3ccc(C(F)(F)F)cc3)c(=O)[nH]2)o1
ZINC63455510.mol2,CCc1c(C(=O)CON=C(N)C2CCCC2)[nH]c(C)c1C(C)=O
ZINC39939484.mol2,CC(C)CN1C(SCC(=O)C2=c3ccccc3=[NH+]C2c2ccccc2)=NNC1CCC(N)=O
ZINC39362078.mol2,COc1cccc(N2C(SCC(=O)NC3CCCC3)=NNC2Cc2cc(=O)[nH]c(=O)[nH]2)c1
ZINC39674803.mol2,CC1[NH+]=c2ccc(C#N)cc2=C1CCNC(=O)C1CN(C(=O)CCCc2ccccc2)CC12CC[NH2+]CC2
ZINC60038391.mol2,CCCCn1c(N)c(N(CC)C(=O)C[NH+]2CCCC2Cc2ccccc2Cl)c(=O)[nH]c1=O
ZINC39693431.mol2,CC(C)(C)OC(=O)NCCNC(=O)C1CN(C(=O)c2cccnc2Cl)CC12CC[NH2+]CC2
ZINC53795432.mol2,Nc1nnc(SCC(=O)NCCC2CCCCC2)n1C1CC1
